date,Tmax,Tmin,humidity,rainfall
1,19.8,4.8,100,0
2,19.2,1.8,100,0
3,20.6,2,100,0
4,20.5,3,100,0
5,18.8,3.2,93.6,0
6,20.6,1.5,98.7,0
7,21,1.2,84.4,0
8,20.4,1,89.5,0
9,22.2,1.8,96.4,0
10,21.5,1.7,100,0
11,22.3,1.7,100,0
12,21.4,2.2,100,0
13,21,4,100,0
14,21.6,4,100,0
15,21.9,3,98.8,0
16,22.9,4.6,93.3,0
17,23.1,4.4,97.7,0
18,23.6,4.6,98.8,0
19,24.1,2.8,100,0
20,24.6,3.2,100,0
21,22.8,7,97.8,0
22,23.6,5.5,100,0
23,24.8,5.8,100,0
24,23.5,6.5,97.9,0
25,22.7,9.6,100,0
26,24.2,6.4,100,0
27,25.7,4.5,100,0
28,25.8,2.7,100,0
29,23.5,3.5,100,0
30,25.5,4.2,92.8,0
31,25.2,3.2,100,0
32,24.3,3.5,97.5,0
33,22.4,6.4,100,0
34,22.2,5.4,100,0
35,23,5.6,100,0
36,23.8,5,97.6,0
37,24.8,5.6,98.9,0
38,24.4,4.3,95.6,0
39,25.6,5.8,84.5,0
40,25.2,6,90.9,0
41,26.5,6.5,97.7,0
42,20.5,6.4,94.4,0
43,26,4.8,92.6,0
44,26.4,5.4,100,0
45,28.3,6.6,100,0
46,27.5,5.5,97.8,0
47,26.8,5.5,85.4,0
48,27.2,6,84.7,0
49,28.5,6.5,93.2,0
50,28.2,6.6,89,0
51,28.6,6.6,89.2,0
52,26.3,6.2,93.4,0
53,27,5.7,73.1,0
54,26,8,76.2,0
55,26.2,7.2,75.2,0
56,25.7,7.5,83.5,0
57,28.2,6.8,84.9,0
58,27.5,6,75.9,0
59,25.2,5,68.9,0
60,25.2,4.5,64,0
61,23.1,6.6,73.1,0
62,25.7,8.7,77.8,0
63,28.3,7,77.5,0
64,30,7.5,68.4,0
65,30.2,9.6,84.7,0
66,30.1,9.6,76,0
67,29.5,9,84.6,0
68,23.2,8,71.5,0
69,28.1,7,80.4,0
70,27.7,5.5,66.8,0
71,30.4,5,68,0
